PC_ConceptID,Estado,PC_Término_Preferido,Sensibilidad,Creación_Nombre,Revisado,Consultar,Sabor,id_Laboratorio Comercial,Laboratorio_Comercial,id_ISP,reg_ISP,glosa_ISP,id_Bioequivalente,reg_ISP_Bioequivalente,glosa_ISP_Bioequivalente,ConceptID_Fármacos _Medicamento_Clínico,Preferido_Fármacos _Medicamento_Clínico,Estado,ConceptID_Fármacos_Familia_de_Productos,Preferido_Fármacos_Familia_de_Productos,Estado,Comercializado,id_FFE,glosa_FFE,ConceptID_SNM,Preferido_SNM,Grupo
808251000000000,Vigente,cloruro de potasio 40 mEq/100 mL solución inyectable (Baxter),Sensible,Manual,No,No,,9468,Baxter Chile Ltda.,19648,F-17820/14,CLORURO DE POTASIO SOLUCIÓN INYECTABLE 40 mEq / 100 mL,,,,6.74281E+14,"cloruro de potasio 2,98% (2,98 g/100 mL) inyectable",Vigente ,788871000000000,cloruro de potasio,Vigente ,Si,9971,solución inyectable,373873005,producto biológico/farmacéutico ,0
808261000000000,Vigente,zequivec comprimido recubierto (Medley),Sensible,Manual,No,No,,9643,Medley Industria Farmacéutica Ltda. Importado (Sanofi-Aventis),23901,F-20668/13,ZEQUIVEC COMPRIMIDOS RECUBIERTOS 20 mg,,,,6.78071E+14,paroxetina 20 mg comprimido,Vigente ,768791000000000,zequivec,Vigente ,Si,9926,comprimido recubierto,373873005,producto biológico/farmacéutico ,0
808271000000000,Vigente,duoval jarabe (Saval),Sensible,Manual,No,No,,9596,Laboratorio Saval S.A.,,,,,,,6.71751E+14,clorfenamina 2 mg/5 mL + pseudoefedrina sulfato 30 mg/5 mL solución oral,Vigente ,768711000000000,duoval,Vigente ,Si,9845,jarabe,373873005,producto biológico/farmacéutico ,0
808281000000000,Vigente,volunta 80 mg comprimido recubierto (Medley),Sensible,Manual,No,No,,9643,Medley Industria Farmacéutica Ltda. Importado (Sanofi-Aventis),23812,F-21121/14,VOLUNTA COMPRIMIDOS RECUBIERTOS 80 mg (ATORVASTATINA),,,,6.86541E+14,atorvastatina 80 mg comprimido,Vigente ,768561000000000,volunta,Vigente ,Si,9926,comprimido recubierto,373873005,producto biológico/farmacéutico ,0
808291000000000,Vigente,deucodol 400 mg cápsula blanda (Medipharm),Sensible,Manual,No,No,,9669,Productos Farmacéuticos Medipharm Ltda.,19978,F-18614/11,DEUCODOL CÁPSULAS BLANDAS 400 mg,,,,6.84201E+14,ibuprofeno 400 mg cápsula,Vigente ,796311000000000,deucodol,Vigente ,Si,9946,cápsula blanda,373873005,producto biológico/farmacéutico ,0
808301000000000,Vigente,volunta 40 mg comprimido recubierto (Medley),Sensible,Manual,No,No,,9643,Medley Industria Farmacéutica Ltda. Importado (Sanofi-Aventis),23811,F-21120/14,VOLUNTA COMPRIMIDOS RECUBIERTOS 40 mg (ATORVASTATINA),,,,6.78571E+14,atorvastatina 40 mg comprimido,Vigente ,768561000000000,volunta,Vigente ,Si,9926,comprimido recubierto,373873005,producto biológico/farmacéutico ,0
808311000000000,Vigente,bediatil suspensión oral (Pasteur),Sensible,Manual,No,No,,9618,Laboratorios Pasteur Ltda.,,,,,,,6.78131E+14,ibuprofeno 100 mg/5 mL suspensión oral,Vigente ,780641000000000,bediatil,Vigente ,Si,9953,suspensión oral,373873005,producto biológico/farmacéutico ,0
808321000000000,Vigente,volunta 20 mg comprimido recubierto (Medley),Sensible,Manual,No,No,,9643,Medley Industria Farmacéutica Ltda. Importado (Sanofi-Aventis),23810,F-21119/14,VOLUNTA COMPRIMIDOS RECUBIERTOS 20 mg (ATORVASTATINA),,,,6.94171E+14,atorvastatina 20 mg comprimido,Vigente ,768561000000000,volunta,Vigente ,Si,9926,comprimido recubierto,373873005,producto biológico/farmacéutico ,0
808331000000000,Vigente,celulase plus comprimido (Synthon),Sensible,Manual,No,No,,9687,Synthon Chile Ltda.,19445,N-40/16,CELULASE PLUS COMPRIMIDOS 60 mg,,,,6.96111E+14,centella asiática 60 mg comprimido,Vigente ,768801000000000,celulase plus,Vigente ,Si,9840,comprimido,373873005,producto biológico/farmacéutico ,0
808341000000000,Vigente,mexan 15 mg comprimido (Mintlab),Sensible,Manual,No,No,,9647,Mintlab Co. S.A.,21889,F-14255/14,MEXAN COMPRIMIDOS 15 mg,,,,6.72071E+14,meloxicam 15 mg comprimido,Vigente ,768521000000000,mexan,Vigente ,Si,9840,comprimido,373873005,producto biológico/farmacéutico ,0
808351000000000,Vigente,plaquetil cápsula (Synthon),Sensible,Manual,No,No,,9687,Synthon Chile Ltda.,22576,F-4191/15,PLAQUETIL CÁPSULAS 250 mg,,,,6.71811E+14,ticlopidina 250 mg cápsula,Vigente ,768571000000000,plaquetil,Vigente ,Si,10036,cápsula,373873005,producto biológico/farmacéutico ,0
808361000000000,Vigente,vick tratatos jarabe (Lab Chile),Sensible,Manual,No,No,,9578,Laboratorio Chile S.A.,23756,N-497/15,TRATATOS JARABE 70 mg/ 5 mL,,,,6.72041E+14,hedera helix extracto estandarizado 70 mg/5 mL solución oral,Vigente ,768811000000000,vick tratatos,Vigente ,Si,9845,jarabe,373873005,producto biológico/farmacéutico ,0
808371000000000,Vigente,"mexilal 7,5 mg comprimido (Sanitas)",Sensible,Manual,No,No,,9559,Instituto Sanitas S.A.,21892,F-2613/14,"MEXILAL COMPRIMIDOS 7,5 mg",,,,6.81041E+14,"meloxicam 7,5 mg comprimido",Vigente ,768641000000000,mexilal,Vigente ,Si,9840,comprimido,373873005,producto biológico/farmacéutico ,0
808381000000000,Vigente,volunta 10 mg comprimido recubierto (Medley),Sensible,Manual,No,No,,9643,Medley Industria Farmacéutica Ltda. Importado (Sanofi-Aventis),23809,F-21118/14,VOLUNTA COMPRIMIDOS RECUBIERTOS 10 mg (ATORVASTATINA),,,,6.80721E+14,atorvastatina 10 mg comprimido,Vigente ,768561000000000,volunta,Vigente ,Si,9926,comprimido recubierto,373873005,producto biológico/farmacéutico ,0
808391000000000,Vigente,masterelax 10 mg comprimido (Andrómaco),Sensible,Manual,No,No,,9604,Laboratorios Andrómaco S.A.,21732,F-240/12,MASTERELAX COMPRIMIDOS 10 mg,,,,6.82011E+14,ciclobenzaprina 10 mg comprimido,Vigente ,769081000000000,masterelax,Vigente ,Si,9840,comprimido,373873005,producto biológico/farmacéutico ,0
808401000000000,Vigente,caprimida D cápsula (Recalcine),Sensible,Manual,No,No,,9621,Laboratorios Recalcine S.A.,19345,F-14353/14,CAPRIMIDA - D CÁPSULAS,,,,6.72391E+14,carbonato de calcio 825 mg (calcio 320 mg) + colecalciferol 125 UI cápsula,Vigente ,769091000000000,caprimida D,Vigente ,Si,10036,cápsula,373873005,producto biológico/farmacéutico ,0
808411000000000,Vigente,nifedipino 20 mg comprimido recubierto de liberación prolongada (Lab Chile),Sensible,Manual,No,No,,9578,Laboratorio Chile S.A.,22162,F-12851/13,NIFEDIPINO COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 20 mg,,,,6.71991E+14,nifedipino 20 mg comprimido liberación modificada,Vigente ,791931000000000,nifedipino,Vigente ,Si,10026,comprimido recubierto de liberación prolongada,373873005,producto biológico/farmacéutico ,0
808421000000000,Vigente,salofalk ODD supositorio (Biotoscana),Sensible,Manual,No,No,,9478,Biotoscana Farma S.A.,,,,,,,6.90881E+14,mesalazina 1000 mg supositorio,Vigente ,794351000000000,salofalk ODD,Vigente ,Si,9956,supositorio,373873005,producto biológico/farmacéutico ,0
808431000000000,Vigente,bactroban ungüento nasal (GSK),Sensible,Manual,No,No,,9544,Glaxo Smithkline Chile Farmacéutica Ltda.,,,,,,,6.72081E+14,mupirocina 2% (20 mg/g) ungüento nasal,Vigente ,779391000000000,bactroban,Vigente ,Si,9951,ungüento nasal,373873005,producto biológico/farmacéutico ,0
808441000000000,Vigente,ibupirac LC 600 mg cápsula blanda (Chemopharma),Sensible,Manual,No,No,,9577,Laboratorio Chemopharma S.A.,21129,F-21000/14,IBUPIRAC LC CÁPSULAS BLANDAS 600 mg,,,,6.79051E+14,ibuprofeno 600 mg cápsula,Vigente ,768991000000000,ibupirac LC,Vigente ,Si,9946,cápsula blanda,373873005,producto biológico/farmacéutico ,0
808451000000000,Vigente,fuzeon polvo liofilizado para solución inyectable con solvente (Roche),Sensible,Manual,No,No,,9670,Productos Roche Ltda.,20814,F-13614/14,"FUZEON POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE 90 mg, CON SOLVENTE",,,,6.72161E+14,enfuvirtida 90 mg inyectable,Vigente ,768941000000000,fuzeon,Vigente ,Si,9935,polvo liofilizado para solución inyectable con solvente,373873005,producto biológico/farmacéutico ,0
808461000000000,Vigente,duoval solución oral para gotas (Saval),Sensible,Manual,No,No,,9596,Laboratorio Saval S.A.,,,,,,,6.79221E+14,clorfenamina 1 mg/mL + pseudoefedrina clorhidrato 30 mg/mL gotas orales,Vigente ,768711000000000,duoval,Vigente ,Si,9843,solución oral para gotas,373873005,producto biológico/farmacéutico ,0
808471000000000,Vigente,oradiet 120 mg cápsula (Sanitas),Sensible,Manual,No,No,,9559,Instituto Sanitas S.A.,22379,F-16963/13,ORADIET CÁPSULAS 120 mg,,,,6.89251E+14,orlistat 120 mg cápsula,Vigente ,789771000000000,oradiet,Vigente ,Si,10036,cápsula,373873005,producto biológico/farmacéutico ,0
808481000000000,Vigente,flufenazina decanoato 250 mg/10 mL solución inyectable (Biosano),Sensible,Manual,No,No,,9609,Laboratorios Biosano S.A.,,,,,,,6.99331E+14,flufenazina 250 mg/10 mL (25 mg/mL) inyectable,Vigente ,768721000000000,flufenazina decanoato,Vigente ,Si,9971,solución inyectable,373873005,producto biológico/farmacéutico ,0
808491000000000,Vigente,celulase ungüento tópico (Synthon),Sensible,Manual,No,No,,9687,Synthon Chile Ltda.,19446,N-42/16,CELULASE UNGÜENTO TÓPICO 1%,,,,6.99081E+14,centella asiática 1% (10 mg/g) ungüento,Vigente ,768771000000000,celulase,Vigente ,Si,9950,ungüento tópico,373873005,producto biológico/farmacéutico ,0
